Time.hours,Time.days,Treatment,Flask,CO2.ppm,m.z
868.25,36.17708333,13C100,20,736.7439,44
915.25,38.13541667,13C100,20,216.30008999999998,44
962.75,40.11458333,13C100,20,355.38595,44
986.75,41.11458333,13C100,20,212.9714,44
1031.25,42.96875,13C100,20,674.99995,44
1078.75,44.94791667,13C100,20,467.00568,44
1103.0,45.95833333,13C100,20,260.00631,44
1126.0,46.91666667,13C100,20,14.71129,44
1150.0,47.91666667,13C100,20,369.90761000000003,44
41.0,1.7083333330000001,13C700,21,2590.17927,44
114.0,4.75,13C700,21,481.70858,44
157.5,6.5625,13C700,21,473.82184000000007,44
204.5,8.520833332999999,13C700,21,504.17607000000004,44
274.5,11.4375,13C700,21,1080.4591,44
321.5,13.39583333,13C700,21,404.84058,44
391.0,16.29166667,13C700,21,282.95701,44
463.5,19.3125,13C700,21,345.0538,44
487.0,20.29166667,13C700,21,195.57133000000002,44
535.0,22.29166667,13C700,21,403.62332999999995,44
581.5,24.22916667,13C700,21,468.40815999999995,44
653.25,27.21875,13C700,21,286.48124,44
699.75,29.15625,13C700,21,404.84856,44
749.75,31.23958333,13C700,21,-135.70277,44
796.25,33.17708333,13C700,21,303.88473,44
815.25,33.96875,13C700,21,179.54692,44
868.25,36.17708333,13C700,21,409.60429,44
915.25,38.13541667,13C700,21,-20.04945,44
962.75,40.11458333,13C700,21,233.71957,44
986.75,41.11458333,13C700,21,112.63293,44
1031.25,42.96875,13C700,21,248.22607000000002,44
1078.75,44.94791667,13C700,21,177.62599,44
1103.0,45.95833333,13C700,21,187.56456,44
1126.0,46.91666667,13C700,21,-34.921409999999995,44
1150.0,47.91666667,13C700,21,50.61743,44
41.0,1.7083333330000001,13C700,22,2604.15996,44
114.0,4.75,13C700,22,1169.579,44
157.5,6.5625,13C700,22,487.84027000000003,44
204.5,8.520833332999999,13C700,22,727.7489099999999,44
274.5,11.4375,13C700,22,1050.76475,44
321.5,13.39583333,13C700,22,382.33943999999997,44
391.0,16.29166667,13C700,22,624.5128,44
463.5,19.3125,13C700,22,973.2972800000001,44
487.0,20.29166667,13C700,22,256.96849,44
535.0,22.29166667,13C700,22,400.80454,44
581.5,24.22916667,13C700,22,445.71169000000003,44
653.25,27.21875,13C700,22,492.65835,44
699.75,29.15625,13C700,22,503.37810999999994,44
749.75,31.23958333,13C700,22,358.27952999999997,44
796.25,33.17708333,13C700,22,350.54761,44
815.25,33.96875,13C700,22,181.01598,44
868.25,36.17708333,13C700,22,411.32425,44
915.25,38.13541667,13C700,22,37.72137,44
962.75,40.11458333,13C700,22,270.07063,44
986.75,41.11458333,13C700,22,121.06026000000001,44
1031.25,42.96875,13C700,22,263.16392,44
1078.75,44.94791667,13C700,22,330.39243999999997,44
1103.0,45.95833333,13C700,22,182.55374,44
1126.0,46.91666667,13C700,22,107.97137,44
1150.0,47.91666667,13C700,22,186.54747,44
41.0,1.7083333330000001,13C700,23,2799.35355,44
114.0,4.75,13C700,23,633.46383,44
157.5,6.5625,13C700,23,71.30515,44
204.5,8.520833332999999,13C700,23,755.09611,44
274.5,11.4375,13C700,23,1083.88489,44
321.5,13.39583333,13C700,23,237.04814,44
391.0,16.29166667,13C700,23,509.14617000000004,44
463.5,19.3125,13C700,23,988.12801,44
487.0,20.29166667,13C700,23,267.20671,44
535.0,22.29166667,13C700,23,424.958,44
581.5,24.22916667,13C700,23,446.72552,44
653.25,27.21875,13C700,23,436.66249000000005,44
699.75,29.15625,13C700,23,318.75576,44
749.75,31.23958333,13C700,23,368.50142999999997,44
796.25,33.17708333,13C700,23,314.43312000000003,44
815.25,33.96875,13C700,23,229.88245,44
868.25,36.17708333,13C700,23,366.90365,44
915.25,38.13541667,13C700,23,72.49283,44
962.75,40.11458333,13C700,23,270.47949,44
986.75,41.11458333,13C700,23,134.95631,44
